timestamp,multiplier
2025-01-01 00:00,2.8
2025-01-01 00:01,1.0
2025-01-01 00:02,4.71
2025-01-01 00:03,2.04
2025-01-01 00:04,2.84
2025-01-01 00:05,4.7
2025-01-01 00:06,4.52
2025-01-01 00:07,3.85
2025-01-01 00:08,3.23
2025-01-01 00:09,1.86
2025-01-01 00:10,2.09
2025-01-01 00:11,4.22
2025-01-01 00:12,4.1
2025-01-01 00:13,1.58
2025-01-01 00:14,4.15
2025-01-01 00:15,2.23
2025-01-01 00:16,1.79
2025-01-01 00:17,4.47
2025-01-01 00:18,3.36
2025-01-01 00:19,3.94
2025-01-01 00:20,2.52
2025-01-01 00:21,1.79
2025-01-01 00:22,2.21
2025-01-01 00:23,1.4
2025-01-01 00:24,4.77
2025-01-01 00:25,4.86
2025-01-01 00:26,3.89
2025-01-01 00:27,2.62
2025-01-01 00:28,4.59
2025-01-01 00:29,3.7
2025-01-01 00:30,2.25
2025-01-01 00:31,3.6
2025-01-01 00:32,2.45
2025-01-01 00:33,2.49
2025-01-01 00:34,4.13
2025-01-01 00:35,1.25
2025-01-01 00:36,3.05
2025-01-01 00:37,4.61
2025-01-01 00:38,3.67
2025-01-01 00:39,2.1
2025-01-01 00:40,2.18
2025-01-01 00:41,1.08
2025-01-01 00:42,3.61
2025-01-01 00:43,1.27
2025-01-01 00:44,3.96
2025-01-01 00:45,2.98
2025-01-01 00:46,3.34
2025-01-01 00:47,2.69
2025-01-01 00:48,4.55
2025-01-01 00:49,2.52
2025-01-01 00:50,1.29
2025-01-01 00:51,4.95
2025-01-01 00:52,4.51
2025-01-01 00:53,2.78
2025-01-01 00:54,2.33
2025-01-01 00:55,4.01
2025-01-01 00:56,1.95
2025-01-01 00:57,1.26
2025-01-01 00:58,4.02
2025-01-01 00:59,3.08
2025-01-01 01:00,2.4
2025-01-01 01:01,4.92
2025-01-01 01:02,1.62
2025-01-01 01:03,2.07
2025-01-01 01:04,4.26
2025-01-01 01:05,3.57
2025-01-01 01:06,4.34
2025-01-01 01:07,1.74
2025-01-01 01:08,4.42
2025-01-01 01:09,4.1
2025-01-01 01:10,1.51
2025-01-01 01:11,2.42
2025-01-01 01:12,2.19
2025-01-01 01:13,1.94
2025-01-01 01:14,3.15
2025-01-01 01:15,3.86
2025-01-01 01:16,2.6
2025-01-01 01:17,1.76
2025-01-01 01:18,1.41
2025-01-01 01:19,1.13
2025-01-01 01:20,4.06
2025-01-01 01:21,4.16
2025-01-01 01:22,4.12
2025-01-01 01:23,1.56
2025-01-01 01:24,3.38
2025-01-01 01:25,1.61
2025-01-01 01:26,3.74
2025-01-01 01:27,1.49
2025-01-01 01:28,2.68
2025-01-01 01:29,2.32
2025-01-01 01:30,1.77
2025-01-01 01:31,2.07
2025-01-01 01:32,4.09
2025-01-01 01:33,2.48
2025-01-01 01:34,4.14
2025-01-01 01:35,1.59
2025-01-01 01:36,4.04
2025-01-01 01:37,3.73
2025-01-01 01:38,1.16
2025-01-01 01:39,2.06
2025-01-01 01:40,4.68
2025-01-01 01:41,2.71
2025-01-01 01:42,3.63
2025-01-01 01:43,4.86
2025-01-01 01:44,4.92
2025-01-01 01:45,4.78
2025-01-01 01:46,3.45
